KAB_KOTA;IPM; Anggaran  ;IPG;PKKP;PPM;PPK;PPK_Makanan;Air Layak;IKK;PDRB;IKKe;Bekerja_Informal;Bekerja_Formal
KONAWE;73.39;246.273.012.000;68.82;5.9;2.23;11415;50.28;93.79;87.71;20748;0.01;36.14;26.23
KONAWE KEPULAUAN;67.99;23.077.253.000;59.35;6.69;6.95;7996;48.41;97.94;95.91;1972;0.11;37.86;28.84
KONAWE SELATAN;71.19;247.269.227.000;71.06;10.05;7.37;10250;51.59;90.31;92.73;17760;0.21;40.95;23.58
KONAWE UTARA;72.32;72.025.081.000;70.99;5.48;3.87;10658;51.58;95.91;95.66;5707;0.14;29.04;32.68
KOTA AMBON;82.56;5.615.200.176.000;77.75;5.13;5.85;15196;50.87;98.67;100.41;19836;0.29;24.84;29.62
KOTA BALIKPAPAN;82.24;2.668.004.903.000;75.04;2.75;3.79;16854;40.47;100;111.89;153567;0.07;24.21;41.91
KOTA BANDA ACEH;87.17;7.659.642.185.000;63.24;3.52;4.58;18100;42.93;100;94.74;26025;0.08;13.85;15.45
KOTA BANDAR LAMPUNG;79.19;4.949.791.575.000;74.27;3.7;4.45;13667;47.9;99.93;86.01;79853;0.08;22.97;36.29
KOTA BANDUNG;83.52;19.018.705.466.000;70.95;7.87;4.85;18795;47.88;99.74;117.19;371846;0.12;22.99;34.07
KOTA BANJAR;73.64;683.344.688.000;62.66;3.49;3.06;11811;54.32;99.83;98.04;5549;0.09;36.33;27.13
KOTA BANJAR BARU;80.51;746.506.114.000;76.8;12.95;7.4;14927;46.54;36.49;98.84;14518;0.48;27.69;37.77
KOTA BANJARMASIN;79.05;3.905.836.649.000;80.9;4.88;4.01;15714;46.94;93.79;100;45666;0.21;26.85;36.67
KOTA BARU;70.61;315.507.100.000;75.94;6.43;13.76;12929;;77.26;97.22;37126;0.71;;
KOTA BATAM;82.86;5.236.421.900.000;61.31;1.52;8.12;19668;47.07;99.73;110.64;233048;0.39;17.49;40.87
KOTA BATU;78.79;876.941.560.000;74.06;7.63;4.75;14253;;99.91;99.88;22154;0.14;27.88;33.61
KOTA BAU-BAU;78.13;220.868.789.000;69.59;4.16;6.27;11755;40.31;99.92;95.6;12205;0.25;23.04;35.12
KOTA BEKASI;83.54;997.389.722.000;70.49;5.42;6.75;16775;40.88;99.93;106.59;129352;0.24;23.49;40.61
KOTA BENGKULU;82.04;2.996.945.073.000;76;7.98;6.53;15542;38.61;99.56;94.72;33148;0.24;24.95;25.76
KOTA BIMA;78.04;270.213.070.000;77.48;7.73;3.74;12362;51.41;99.86;110.99;5314;0.04;35.23;31.79
KOTA BINJAI;78.1;275.753.659.000;68.54;7.35;4.08;12015;;98.18;92.06;15589;0.08;22.29;35.49
KOTA BITUNG;75.71;500.454.522.000;67.94;1.96;3.75;13539;49.57;100;97.34;24752;0.07;26.44;38.83
KOTA BLITAR;81.27;230.187.238.000;68.4;5.43;4.39;14933;;99.93;92.25;9188;0.21;27.68;35.52
KOTA BOGOR;78.52;2.189.220.628.000;75.6;6.56;9.02;13154;36.8;99.78;112.47;61052;0.25;26.68;28.25
KOTA BONTANG;82.42;194.129.879.000;42.51;1.62;2.59;18394;41.47;91.94;110.5;68418;0.08;24.68;35.46
KOTA BUKITTINGGI;82.51;516.456.191.000;83.53;4.52;2.34;14297;48.31;100;95.45;11747;0.07;28.6;38.36
KOTA CILEGON;75.14;339.438.029.000;53.69;11.31;3.14;14294;45.01;99.84;93.43;137989;0.03;20.34;37.89
KOTA CIMAHI;80.08;1.206.307.779.000;76.26;9.16;5.74;13278;45.62;99.79;112.94;43423;0.12;26.13;38.83
KOTA CIREBON;77.08;2.663.450.522.000;81.14;7.43;14.72;12869;46.28;99.78;105.18;30540;0.38;22.33;33.63
KOTA DENPASAR;85.22;8.576.261.125.000;67.4;3.55;3.94;20763;37.45;99.93;115.46;65300;0.04;22.29;47.76
KOTA DEPOK;82.91;893.547.677.000;75.62;3.63;4.63;16640;40.89;99.96;109.97;94150;0.12;28.02;41.8
KOTA DUMAI;76.19;351.516.193.000;52.2;2.45;3.03;12847;48.51;95.14;97.25;52668;0.05;22.38;37.8
KOTA GORONTALO;79.18;194.922.669.000;66.49;4.38;4.09;13860;41.03;100;95.64;11237;0.07;29.12;34.83
KOTA GUNUNGSITOLI;71.41;108.411.407.000;72.62;3.39;6.44;9056;54.81;56.01;103.43;7322;0.26;42.98;23.52
KOTA JAMBI;81.04;5.247.730.974.000;66.98;11.41;7.73;13388;40.93;99.79;94.24;43375;0.23;21.59;37.74
KOTA JAYAPURA;81.67;5.846.026.651.000;78.29;15.85;10.72;15408;41.05;95.26;125.66;39815;0.79;27.94;20.59
KOTA KEDIRI;81.35;800.274.088.000;81.27;5.31;6.51;13670;;99.83;94.38;168749;0.25;29.65;34.23
KOTA KENDARI;85.33;4.114.208.792.000;77.12;5.46;4.23;15651;43.16;100;87.53;30021;0.14;21.36;39.33
KOTA KOTAMOBAGU;75.27;123.986.624.000;63.38;4;5.12;12074;48.16;90.29;97.72;5215;0.08;21.37;36.02
KOTA KUPANG;81.08;7.274.418.998.000;69.16;12.52;8.24;14001;45.8;90.96;84.59;30773;0.43;50.97;18.07
KOTA LANGSA;78.81;480.652.908.000;58.91;8.96;10.33;13133;49.8;96.2;92.08;7324;0.42;36.92;22.79
KOTA LHOKSEUMAWE;79.55;1.467.773.607.000;68.86;7.86;10.44;12694;48.29;98.92;100.91;11848;0.67;36.6;21.79
KOTA LUBUKLINGGAU;76.82;179.640.408.000;73.09;6.9;11.14;14672;53.15;96.45;91.18;8718;0.28;29.58;35.09
KOTA MADIUN;83.48;1.373.499.785.000;76.51;5.34;4.38;17518;;99.81;94.27;18653;0.09;24.9;41.5
KOTA MAGELANG;82.15;1.230.656.155.000;82.7;8.68;5.94;13619;44.61;99.76;98.85;11822;0.19;24.18;34.10
KOTA MAKASSAR;83.9;12.886.852.827.000;71.04;3.97;4.97;18386;44.55;100;96.06;243063;0.18;17.71;34.18
KOTA MALANG;84.06;4.217.769.538.000;78.99;4.99;3.91;17791;;99.9;98.02;100117;0.08;22.8;37.66
KOTA MANADO;80.63;5.546.075.382.000;85.66;4.46;5.43;15301;46.53;89.06;104.66;53015;0.3;23.63;36.07
KOTA MATARAM;80.6;4.259.410.023.000;77.02;1.4;8;16514;54.12;99.89;102.96;24200;0.68;28.61;33.35
KOTA MEDAN;82.76;12.706.697.831.000;68.88;7.27;7.94;16069;;100;94.2;329609;0.26;26.97;34.32
KOTA METRO;78.93;266.793.384.000;71.96;8.23;6.78;13092;47.94;100;86.9;8480;0.15;30.29;35.3
KOTA MOJOKERTO;80.92;626.312.171.000;72.91;4.33;5.57;14842;;99.8;96.58;8612;0.13;23.44;37.44
KOTA PADANG;83.99;6.078.102.104.000;63.38;8.57;4.06;15458;56.81;93.37;94.36;84183;0.03;41.42;27.72
KOTA PADANG PANJANG;80.17;311.914.250.000;75.62;5.33;5.31;11840;48.53;96.25;90.3;4757;0.07;;
KOTA PADANGSIDIMPUAN;76.96;251.208.594.000;76.54;6.99;6.23;11964;54.25;60.13;95.61;8577;0.12;27.43;36.3
KOTA PAGAR ALAM;71.19;109.533.576.000;58.64;6.91;8.18;10245;50.32;91.63;93.79;3811;0.16;29.34;43.67
KOTA PALANGKA RAYA;82.2;3.274.727.578.000;69.55;6.06;3.52;15188;43.38;84.11;101.91;26236;0.08;28.72;34.13
KOTA PALEMBANG;80.57;12.978.270.126.000;58.53;3.36;9.77;16150;48.3;99.89;85.89;208197;0.4;31.7;24.89
KOTA PALOPO;79.94;363.349.207.000;73.74;2.98;7.35;14369;48.06;97.01;99.31;11084;0.19;20.83;32.41
KOTA PALU;82.88;4.340.570.629.000;67.83;6.96;5.94;15941;42.43;96.44;85.25;32919;0.09;28.64;28.26
KOTA PANGKAL PINANG;80.4;1.856.953.417.000;65.48;8.68;4.04;16750;44.53;99.91;110.21;18940;0.19;20.57;39.87
KOTA PARE-PARE;79.64;664.853.318.000;75.17;4.92;5.27;14928;48.06;100;90.66;9943;0.14;26.26;33.54
KOTA PARIAMAN;78.88;215.213.604.000;60.14;7.3;4.26;13784;48.91;93.72;90.87;6802;0.08;38.64;25.16
KOTA PASURUAN;77.75;232.073.484.000;70.04;4.29;6.32;14664;;99.63;97.09;11208;0.12;22.31;39.62
KOTA PAYAKUMBUH;80.61;203.757.898.000;68.75;8.17;5.19;14260;48.23;100;90.32;9421;0.15;30.84;37.15
KOTA PEKALONGAN;77.22;368.439.226.000;65.1;5.05;6.71;14547;50.32;99.9;103.37;14767;0.17;25.60;43.04
KOTA PEKANBARU;82.89;4.884.134.149.000;67.4;10.08;3.15;15212;45.23;100;90.22;171307;0.06;27.44;34.46
KOTA PEMATANG SIANTAR;81.17;385.405.434.000;68.93;7.24;7.2;13349;57.0;98.14;92.05;17352;0.27;36.2;35.54
KOTA PONTIANAK;81.57;5.225.030.654.000;73.04;7.05;4.2;16212;42.86;99.81;102.16;51350;0.14;22.67;34.36
KOTA PRABUMULIH;77.08;148.197.407.000;67.94;7.62;10.13;13982;48.22;96.7;89.82;10533;0.36;27.45;38.04
KOTA PROBOLINGGO;76.27;175.360.613.000;76.8;4.47;6.18;13405;;99.6;94.93;15375;0.21;27.72;41.19
KOTA SABANG;78.32;287.647.970.000;60.86;7.81;14.58;12625;55.1;90.12;102.78;1861;0.8;44.14;14.78
KOTA SALATIGA;85.72;560.283.602.000;65.05;4.04;4.57;17096;38.15;99.9;104.58;18079;0.11;25.40;42.55
KOTA SAMARINDA;82.81;10.094.959.333.000;62.57;7.31;4.3;16160;41.67;86.39;107.21;98415;0.11;23.09;35.04
KOTA SAWAH LUNTO;75.13;117.176.214.000;62.49;8.19;2.33;11187;50.66;54.02;92.19;5058;0.08;34.7;36.66
KOTA SEMARANG;85.25;18.166.860.155.000;78.71;4.15;4.03;16990;40.88;99.94;105.04;267551;0.12;21.06;43.04
KOTA SERANG;73.99;2.742.979.485.000;58.38;2.18;5.65;14603;50.82;99.87;95.04;42988;0.16;28.33;31.8
KOTA SIBOLGA;75.66;652.588.999.000;65.89;8.53;11.39;12713;56.35;96;102.94;7202;0.37;23.6;39.66
KOTA SINGKAWANG;73.87;297.903.178.000;66.2;7.39;4.53;12945;50.51;90.18;107.89;14015;0.1;21.41;35.3
KOTA SOLOK;80;120.807.861.000;65.38;7.89;3.07;12995;51.16;100;92.71;5561;0.07;36.32;32.4
KOTA SORONG;79.93;121.325.707.000;61.15;19.2;13.67;14368;47.71;92.47;113.71;17127;1.01;27.37;30.4
KOTA SUBULUSSALAM;68.04;97.525.052.000;76;8.02;16.38;8491;55.59;42.17;97.17;2762;0.41;30.13;25.97
KOTA SUKABUMI;76.85;462.566.004.000;69.05;5.57;7.2;12252;48.04;99.52;102.8;16370;0.18;26.56;30.66
KOTA SUNGAI PENUH;77.4;92.095.710.000;53.62;14.91;2.92;11499;51.6;97.57;97.3;10281;0.07;36.58;26.33
KOTA SURABAYA;84.14;17.501.286.653.000;76.4;2.37;3.96;19666;;99.94;102.54;772494;0.16;23.64;40.76
KOTA SURAKARTA;84.4;2.884.718.506.000;76.98;6.22;8.31;16291;44.64;99.88;103.08;64701;0.26;23.52;38.11
KOTA TANGERANG;80.02;1.409.376.697.000;65.21;1.89;5.43;15641;45.26;99.91;98.61;224791;0.23;17.85;43.71
KOTA TANGERANG SELATAN;82.89;830.582.352.000;70.59;3.13;2.36;17028;38.2;99.94;104.33;112214;0.05;19.13;40.13
KOTA TANJUNG BALAI;71.1;206.147.069.000;72.61;6.3;11.97;12264;56.7;86.56;94.78;12208;0.33;31.33;29.66
KOTA TANJUNG PINANG;80.63;2.312.912.645.000;70.28;10.63;6.86;16663;47.97;98.44;106.28;25022;0.14;17.86;43.58
KOTA TARAKAN;77.96;1.159.933.352.000;68.54;14.05;5.56;12451;48.53;100;110.5;56214;0.08;21.44;38.5
KOTA TASIKMALAYA;75.04;645.294.082.000;69.84;5.31;11.1;11431;53.92;99.9;103.86;29613;0.26;26.43;34.42
KOTA TEBING TINGGI;77.45;435.779.505.000;63.45;9.54;8.79;13900;48.99;100;95.16;7875;0.29;27.4;34.42
KOTA TEGAL;77.43;638.234.827.000;64.76;5.02;7.64;14358;50.32;99.86;104.5;20661;0.32;23.94;39.35
KOTA TERNATE;82.12;2.705.022.887.000;78.02;22.16;3.14;14731;42.76;100;122.4;15213;0.25;30.67;25.98
KOTA TIDORE KEPULAUAN;72.91;469.293.927.000;71.54;29.05;6.56;9269;51.62;100;109.84;3852;0.21;30.87;28.51
KOTA TOMOHON;78.89;87.265.423.000;77.11;4.15;5.38;13045;47.01;100;99.69;5880;0.22;20.32;41.08
KOTA TUAL;70.21;100.878.629.000;59.16;27.91;20.01;8238;47.1;89.57;110.62;3417;0.65;34.21;23.42
KOTA YOGYAKARTA;88.77;7.421.131.062.000;71.86;10.35;6.26;20603;37.09;99.98;102.25;49390;0.14;24.48;39.22
KOTAWARINGIN BARAT;74.44;280.170.925.000;66.73;6.43;4.11;14095;51.25;66.08;106.99;31221;0.1;25.32;38.91
KOTAWARINGIN TIMUR;72.66;380.069.517.000;67.25;7.57;5.66;13042;51.93;77.33;105.91;37991;0.24;26.7;38.79
KUANTAN SINGINGI;72.33;193.817.532.000;68.77;11.47;7.89;11182;52.3;71.84;86.92;51996;0.2;31.56;26.95
KUBU RAYA;70.25;238.289.775.000;68.66;17.56;4.08;10132;55.22;69;103.68;41726;0.05;35.2;23.68
KUDUS;77.22;456.933.616.000;66.88;5.41;7.23;12533;50.84;96.25;104.64;128612;0.24;25.66;43.77
KULON PROGO;76.14;395.554.265.000;70.6;8.75;15.62;10990;46.47;92.14;102.56;16912;0.62;50.00;25.38
KUNINGAN;71.26;486.514.048.000;78.86;5.83;11.88;10418;54.02;94.32;98.27;35536;0.53;35.58;23.11
KUPANG;66.57;480.436.966.000;62.06;14.39;21.37;8508;50.01;79.51;82.56;9868;1.45;49.14;14.17
KUTAI BARAT;74.5;217.569.434.000;70.26;7.23;9.56;11903;53.14;77.89;126.5;39694;0.24;27.99;34.7
KUTAI KARTANEGARA;75.91;318.083.004.000;72.29;8.06;7.28;12957;50.78;75.27;112.34;204700;0.1;31.61;26.75
KUTAI TIMUR;75.53;165.141.882.000;55.87;6.6;8.81;12490;50.57;58.12;123.01;159497;0.24;22.31;39.61
LABUHAN BATU;74.18;303.076.468.000;59.07;7.07;7.84;12102;;95.95;96.25;50802;0.13;27.56;29.63
LABUHAN BATU SELATAN;73.67;116.790.041.000;61.04;6.65;7.73;12353;60.89;84.39;96.57;41910;0.16;30.73;31.51
LABUHAN BATU UTARA;74.4;91.926.610.000;47.74;7.08;8.98;12839;59.23;93.18;95.16;36582;0.14;30.08;30.6
LAHAT;69.77;267.102.369.000;71.79;5.55;14.14;11255;57.43;86.82;85.48;29981;0.53;45.7;23.09
LAMANDAU;72.25;98.155.469.000;79.46;5.06;3.25;12278;50.85;84.61;111.64;8265;0.15;28.66;38.34
LAMONGAN;75.13;446.062.556.000;67.9;5.3;12.16;12419;;90.28;97.63;52077;0.44;37.84;26.79
LAMPUNG BARAT;69.84;156.326.297.000;66.65;11.17;10.68;10965;59.24;80.78;92.22;9903;0.4;64.23;9.33
LAMPUNG SELATAN;70.28;646.548.713.000;70.98;9.91;12.57;11133;58.51;89.26;88.62;60321;0.46;43.95;18.6
LAMPUNG TENGAH;72.37;332.681.727.000;71.66;10.25;10.37;12595;58.63;91.85;86.72;97093;0.4;48.96;21.12
LAMPUNG TIMUR;71.84;358.058.179.000;64.44;11.54;13.19;11262;56.66;89.44;85.93;56851;0.29;43.93;19.44
LAMPUNG UTARA;69.62;290.321.547.000;59.15;10.36;16.92;9837;58.46;84.86;88.77;31815;0.51;43.28;25.77
LANDAK;69.08;170.098.828.000;75.86;10.89;8.98;8868;55.76;63.3;109.12;14967;0.38;49.79;18.44
LANGKAT;72.73;424.078.261.000;62.24;8.82;9.04;12080;57.92;92.48;94.62;62411;0.26;32.33;30.85
LANNY JAYA;51.59;48.409.344.000;50.31;12;34.12;5026;57.85;60.44;257.73;2493;2.01;90;3.26
LEBAK;74.09;481.176.870.000;66.83;2.52;8.44;13254;65.01;88.58;97.83;186104;0.23;41.97;17.18
LEBONG;69.27;92.609.708.000;80.46;12.38;10.45;12362;60.0;89.68;93.63;4581;0.27;57.58;17.68
LEMBATA;66.62;193.734.012.000;54.68;12.5;24.22;8238;55.08;90.93;93.55;2255;1.06;45.34;20.75
LIMA PULUH KOTA;71.14;356.779.797.000;51.45;8.83;6.92;10648;59.37;61.37;90.18;20851;0.16;51.77;21.2
LINGGA;68.19;149.963.058.000;60.98;20;9.99;12906;53.14;94.17;111.31;5604;0.37;32.37;33.57
LOMBOK BARAT;70.67;307.928.611.000;62.49;3.35;12.65;12431;58.98;90.43;107.12;19160;0.43;38.21;28.12
LOMBOK TENGAH;69.17;515.201.286.000;63.6;3.84;12.07;11531;58.04;85.74;101.64;22605;0.27;53.11;16.26
LOMBOK TIMUR;69.23;510.561.480.000;71.24;2.37;14.51;10571;62.59;83.99;105.37;26293;0.77;48.17;17.42
LOMBOK UTARA;67.24;107.245.159.000;47.67;3.04;23.96;10272;52.92;88.01;100.83;5983;1.35;50.27;19.16
LUMAJANG;68.8;341.601.352.000;65.16;8.44;8.65;10124;;86.2;91.96;43059;0.26;43.29;21.96
LUWU;72.79;224.170.722.000;65.77;6.8;11.7;11121;54.75;73.96;101.41;22952;0.53;45.03;24.01
LUWU TIMUR;74.95;161.674.809.000;56.12;5.23;6.55;13867;49.15;84.4;102.25;30391;0.39;39.89;17.05
LUWU UTARA;72.07;217.415.092.000;54.02;4.16;11.24;12866;54.19;87.31;99.17;19689;0.58;34.9;28.16
MADIUN;73.74;411.187.320.000;72.26;10.97;10.63;12668;;93.87;95.85;25549;0.25;42.4;21.56
MAGELANG;71.99;495.501.843.000;66.97;11.24;10.83;10926;51.63;91.86;99.28;43736;0.23;46.64;24.57
MAGETAN;75.87;354.382.656.000;70.07;11.19;9.32;12915;;94.73;95.27;24577;0.2;49.97;21.59
MAHAKAM ULU;70.35;40.970.109.000;82.2;8.18;10.75;9126;48.04;48.5;137.82;3774;0.43;43.44;24.03
MAJALENGKA;69.74;489.362.418.000;62.81;5.95;10.82;10842;54.92;89.33;102.13;46303;0.45;36.14;27.48
MAJENE;69.42;3.901.159.863.000;76.96;5.47;13.64;10909;53.17;100;85.05;6496;0.41;37.71;20.52
MALAKA;62.73;78.928.376.000;63.31;12.18;13.92;6879;56.94;99.98;80.07;3770;0.37;45.08;14.14
MALANG;72.68;1.177.309.980.000;73.39;9.42;8.98;11190;;92.77;98.86;138423;0.16;37.02;29.3
MALINAU;73.9;182.567.079.000;76.58;11.44;6.94;11190;52.19;72.09;103.83;18207;0.06;39.22;30.6
MALUKU BARAT DAYA;64.86;190.853.064.000;69.27;30.33;27.95;7600;46.88;92.78;119.46;3197;0.63;48.24;13.74
MALUKU TENGAH;73.21;540.016.934.000;69.49;34.3;17.67;11183;51.52;93.17;100.76;11454;1.31;41.56;18.11
MALUKU TENGGARA;68.24;573.548.982.000;65.89;30.97;21.22;8553;45.64;89.2;110.87;4408;0.59;36.31;18.13
MALUKU TENGGARA BARAT;64.83;;75.65;35.83;23.66;7091;;;111.8;3618;1.03;;
MAMASA;68.37;513.388.171.000;61.09;7.16;14.2;8415;48.91;37.94;105.24;3772;0.33;51.61;16.86
MAMBERAMO RAYA;55;52.229.904.000;54.73;52.1;30.29;5298;48.96;49.76;175.63;2305;0.55;37.61;12.98
MAMBERAMO TENGAH;50.72;16.674.052.000;53.4;29.91;35.27;4943;72.84;67.77;285.83;1554;1.31;85.01;4.28
MAMUJU;70.4;905.257.631.000;60.61;7.37;7.15;10440;44.25;85.7;89.76;16024;0.26;46.49;21.05
MAMUJU TENGAH;68.36;109.432.235.000;55.84;6.18;7.72;9250;48.91;85.41;90.07;4555;0.19;45.5;15.31
MAMUJU UTARA;69.73;141.582.856.000;56.06;4.97;5.21;12190;;;97.28;15579;0.11;;
MANDAILING NATAL;69.33;371.954.844.000;66.37;7.1;8.69;10644;62.21;90.72;93.25;20279;0.21;41.99;18.77
MANGGARAI;67.28;290.032.105.000;65.39;11.03;19.01;8204;57.29;91.21;102.79;5944;0.66;51.51;17.82
MANGGARAI BARAT;66.65;328.395.020.000;62.72;11.03;16.74;8195;52.73;87.33;99.67;4594;0.96;54.04;21.87
MANGGARAI TIMUR;64.2;103.677.513.000;53.16;13.14;24.9;6561;65.14;76.18;93.7;4269;1.49;49.6;23.73
MANOKWARI;73.83;2.463.349.917.000;63.55;22.18;18.45;13008;49.42;92.06;113.78;11327;0.82;28.53;28.54
MANOKWARI SELATAN;62.45;121.325.707.000;55.62;20.01;26.83;6139;51.07;81.94;121.72;1018;1.54;48.96;21.01
MAPPI;61.51;35.088.172.000;57.73;46.32;25.7;7068;59.95;52.67;147.15;3834;1.2;36;32.01
MAROS;72.11;416.568.904.000;71.86;7.23;9.32;12209;51.04;84.72;96.64;28624;0.19;33.29;20.65
MAYBRAT;61.83;91.325.002.000;66.84;18.16;29.18;5824;52.3;76.34;130.71;863;1.08;52.39;16.66
MELAWI;68.66;131.913.436.000;73.76;20.28;10.62;9596;51.77;17.1;110.58;7234;0.49;37.82;33.15
MERANGIN;71.66;227.130.689.000;58.12;15.19;8.4;11425;;84.03;95.59;25472;0.27;42.05;22.4
MERAUKE;72.73;1.179.088.534.000;72.79;10.21;10.19;11077;58.96;79.38;138.95;20350;0.67;35.91;23.01
MESUJI;66.46;105.954.809.000;67.3;14.29;6.31;9454;48.39;85.36;92.43;14153;0.16;39.5;28.83
